N,Flag
84342899344396239572853314596487240206927183239734411397747911105424177818665924574194442336682617663673403773033894659693152462451370839589490857563703436890218323438270935607679382977582745407331969627278090124921665900236998383876367584023236264243087464829426960197792947950510454481506029667116011009591,39581026934022502023359342577892858944901387763893363393020581100153318287297644048751403400016361561853717410338259267166839044906936863994086295374230454611763211941433290364132353558797219401606773215944866239381111360118868028280998178603227494883401175254084362395091355597650679304490232780446497066178
99049817037782224296864757141327887153064139932641545323436542779719780421934982732794021762742960227721016302267350551980839295980195239644181769291278465220823123138455396695513505181631966961744711039733275604709854965115698949637186885687261450845873252434357457151839669069736621363921875810164803617933,13482319029338768753086008103245881584407326004463793912181078048341322289679155677552259669072569554697397391803061089202222733897115077508622722331439152638891268887121138356795514239583047151392958652597103003137408622875829559104054307396810171644501318013374193322219981352067387696339850754195306396101
103095974605159260098469805791444944277327641415730289061396428001393482018409656837147546552059915889798049360887811025943832441789407694707691524727220144504041204665732414026018070335694702187635207904865439169376261357959749624631184527505751371296306909969956805267878708531818149049909120719477390338609,11869633060303054345706190820017834923816656319654366870615922857746714771751468889514988562687694596641155262014196336653105765630549707234184483105464445480262755801748543382146152432193672021209086854115543887539879792211291955961301516612783482410344120174608038385836503355714458778584614555949473879341
69319979881519835957370576195895690988108620697844967622659158221997375239101575727842519379458234236474735617580697010986486489121879910194426375678660537256333373610898027758957116580660129019246387638912843283773215862579332416178876631617717691657865940398525001608828316160233899418075767587320677518481,41732185192276579437878784402884061577925629600350967906888459143045246947883994734198711871429869025711535942023985452054344614793705103583175947324108480081019726284588027120469579478514991939980492461276891290906038225701359202601071990942242072021013334873296365772208599210386574708460169782522202628734
128071687597488289524691361068173722266466517680552512188665349679287971758144440743375865726911996268254506666492444438395344731971059231455301097028528134267063827828187860436785640532813080619675234891352999572247856440563994268683465010745557668295134905324286828655812441420897696130066636563305665247313,59542021348189240316674478098275286393235306933842993471042099319246914411257068708098161343878116298519248295591115534209520951347847612102042028085716507926227904071804602592761966616665945652854809714806905474775821209780467612563629015209016155963406203868836781833958791124755338538033597467596142689004
102794442294439428801592215048370811061803907705935136100783488393578418143188998791788007216922359339005079825348516765589228479435462122765317635453876502568730894570438168670901162484303178390736284803546441631612241752404063673138035137606544949543114228858709379351621320194964105088214180047653649710037,38715943721351033944379600443887897357838545867329415730158936050175790217691940285230911594427210252651229549948336945532917176206909466185053595265894068855167798183611935683313216156505804866439867798288924333100544861672500084332984588653162401970941852347159475413497704895697495625803406983815369728039
70838502971461227616923872018716879161276884313448674272458263417836856007849714552387741627171767424205180952891189492615582163261334517561262007250480813136832805942321827069806645070136444404696375887294313447402000521907219726219454836736266930494741863032154345638748666269634961902531865837904317734917,63271628262894747883724389790171554529716105692652520731197073441709258234121891683700166734170302175136778522306480096230842501018647038115348883112425071341872779402192112007261675691500777518283930429624731128189151399552228051142850039918394351013571858348373437200774211451221032674935272958424951237665
95098047219617009472169258723759555992203487453207500276803940483540148904580632141597109291979931429502391491191416602083149964576644146766400014378324837135911315256122392230152777489072808252726527071018233057504272993216934793011042970582738524545850082274171818577908470191233214256410142052472311120469,92019298320455882564385644800899049083663237240072127579010810462162952788320226569501450685355729437614758442150996337716089170960801992274784248770464213984845838408837439558660551418411015256014264876986234900342451933697944712156806493439848982149002301653595024447380020382547613376413044222974853776698
75635048921804130834972162133842327304629144226148639498976843304247624880262075345517826489393067806553425307300116187868964410367020390565462675205171633823503821553155178710132254068665853021597627990129729069216430091088464658599497703572887266359691443809629908615656581059050667608351476254407443348419,45427344077065277949394088980472241548289836079278990044806227472799400126756360005749624844862271719446484621566131312869366699596070706457055503373485139422728022131927422711848161399261433861568038450611877997666910346114541701694791200269091156453070989493849288363486815231651629362663268743733904169748
97173472216682415418365767103484488778571373881112445743226720259946319300678134484216605367515987371086250918010080843010888136099451138733274853349062189411329618227788282400655467756277821768113712065154657603893582416902964221528747427718251142686814970676176631502925423719241121291897708929238080592927,96035859457662534154487614892112934393276360363282986047250044958456256675972355126461918733480559815045353115207876975547769276269781219959585051219599171327444806220370384462518731085245263448784955121370697773623744919006330663121065827411634071012802007608636778106625303262519137780097597738218419565588
63751891118076069919668460991960896094088058638535318033248665442025630960346467444310181860648908948417397892493981674849929054426571516474530372219010488052575543356990842846975953128163902485275250623366236968476731007792501847587642501044739286297869564003343462183695668900435888143554423383824641877131,3430588638866174294843133241198835686880258496542925465857444105848732349175891929604119566519602185153459963482709731248213684720411034776816712332601555346976168473042559452390668934189732992129689773571874677816180049514291748666012883675786547513302857025692890892829395574334690499176953164049878834614
69196721444644389339582767157149442490639012989641709525350550549979072515779933558406152853861579330533448187595891354312371811004176955106530410013039174549933898070588566224338076717654542572785321323058108898471258776785313173813197339755289691168258445642790736038483046797997243652961571133549664860893,39357715395159410002015684431463495802017751702631806458929634329962119463763616618488867255752470815785913323805420955206035708740235974199572059104507627434849054066410954703232973256563249997795260020027967199738285892634782160911960805207973926826315934238867752431658924350959967616397836346782997813793
95041625091322202093592141335470632851254306967705438641908761361698457910226145551566262380808746330304233464087638847368038354723013118226548308012219814670714361592688236594256755923051770518479211124229316903885916682805865058825154097694218345129196551826626805399737410726214966052159846230377004724389,42879642812684819310912463486017242654348224529005865135388532781571871472926214435604984866028676617718280198305084810695139636037207656194462504994505436521422743681270032514548678560726652703170467221376588183572312345693005317255515349604619618716367340869512992049953395830341865346527954605193089712704
66713933963595846047022362171727106149266923457663398721986318115648702685928369059199925851601316477715643337263615742069601044986873654933026091290428572491762134638206673677251817873889491921873716595056828948311793382234914819071824847526355475289617856950855998124205524836193253572241341157471521091763,10290753262344709026929043687417038430095158365198775333332968886867445758636462644876071224554681771948766217584013464646301778163930277766358905774032151298003646545089299432110496254222098783385397374184061184269028183080696662810745491135534926083474596609828534013618218243090361526607549615560497436176
